Video URL,Title
https://www.youtube.com/watch?v=3MHKfBVkB8E,ILHC 2020 - All-Star Classic Lindy Hop - Robin Carlson & Jerry Foote (United States)
https://www.youtube.com/watch?v=Vs1fNlQBDqY,ILHC 2020 - All-Star Classic Lindy Hop - Maren Merian & Milan Hurban (Germany - Czech Republic)
https://www.youtube.com/watch?v=G8_UoccBL2c,ILHC 2020 - All-Star Classic Lindy Hop - Jana Mechurova & Peter Kepic (Czech Republic - Slovakia)
https://www.youtube.com/watch?v=YHVpysgRmrI,ILHC 2020 - All-Star Classic Lindy Hop - Maria Ferrer & Aurélien Darbellay (Barcelona)
https://www.youtube.com/watch?v=-A4SnMrlK88,ILHC 2020 - Invitational Classic Lindy Hop - Frida Segerdahl & Sakarias Larsson (Sweden)
https://www.youtube.com/watch?v=0HoDSF-2Ldg,ILHC 2020 - Invitational Classic Lindy Hop - Alice Mei & Remy Kouakou Kouame (France)
https://www.youtube.com/watch?v=heN3bNuyclg,ILHC 2020 - Invitational Classic Lindy Hop - Pamela Gaizutyte & Tadas Vasiliauskas (Lithuania)
https://www.youtube.com/watch?v=ODLeeCoIbjM,ILHC 2020 - Invitational Classic Lindy Hop
https://www.youtube.com/watch?v=CJtR8cvLtAI,ILHC 2020 - Invitational Classic Lindy Hop - Evita Arce & Nathan Bugh (United States)
https://www.youtube.com/watch?v=T8HeDZSq1vk,ILHC 2020 - Invitational Classic Lindy Hop - Lisa Clarke & Fabien Vrillon (France)
https://www.youtube.com/watch?v=qpRrNIvIYl0,ILHC 2020 - Invitational Classic Lindy Hop - Ana Lisa Sutherland & Joshua Mclean (United States)
https://www.youtube.com/watch?v=HOCExkPVaRY,ILHC 2020 - Invitational Classic Lindy Hop - Charlie DecaVita & Rebecka Decavita Sweden
https://www.youtube.com/watch?v=tfUxYQUpzOA,ILHC 2020 - Invitational Classic Lindy Hop - Caleb Teicher & Nathan Bugh (United States)
https://www.youtube.com/watch?v=3ugJ1ZEcOU8,ILHC 2020 - Invitational Classic Lindy Hop - Evita Arce & LaTasha Barnes (United States)
https://www.youtube.com/watch?v=gf1j2dq71Gw,ILHC 2020 - Invitational Classic Lindy Hop - Irina Amzashvili & Anthony Chen (United States)
https://www.youtube.com/watch?v=ufjT0QC1dvw,ILHC 2020 - Invitational Classic Lindy Hop - Felix Berghäll & Nils Andrén (Sweden)
https://www.youtube.com/watch?v=_13iG-MvGtg,ILHC 2019: Open Classic Finals - Raphael & Amelie
https://www.youtube.com/watch?v=nyC7EBIx4LE,ILHC 2019: Open Classic Finals - Junsuk & Solji
https://www.youtube.com/watch?v=S7FJ5zqIOJ8,ILHC 2019: Open Classic Finals - Sean & Hannah
https://www.youtube.com/watch?v=86bVb7mfW9Q,ILHC 2019: Open Classic Finals - Viktor & Wilma
https://www.youtube.com/watch?v=AtAf1JojW8c,ILHC 2019: Open Classic Finals - Michel & Alice
https://www.youtube.com/watch?v=Psvg_vZe8zc,ILHC 2019: Open Classic Finals - Simon & Ariadna
https://www.youtube.com/watch?v=QpoY0ywie3M,ILHC 2019: Open Classic Finals - Viktor & Kerry
https://www.youtube.com/watch?v=P7qQVH71fGQ,ILHC 2019: Open Classic Finals - Rob & Kelsey
https://www.youtube.com/watch?v=WgveLmE5YAo,ILHC 2019: Pro-Am Leads - Jaewon & Hyunjung
https://www.youtube.com/watch?v=soBxH-v0kUU,ILHC 2019: Pro-Am Leads - Yam & Jo
https://www.youtube.com/watch?v=9ra94HASaQc,ILHC 2019: Pro-Am Leads - Jonathan & Laura
https://www.youtube.com/watch?v=J3RaZ0ejZLA,ILHC 2019: Pro-Am Follows - Sophie & Travis
https://www.youtube.com/watch?v=P554FU6e8uY,ILHC 2019: Pro-Am Follows - Jess & Anthony
https://www.youtube.com/watch?v=9hwH57bmNIQ,ILHC 2019: Pro-Am Follows - Sarah & Christian
https://www.youtube.com/watch?v=fajOkuarwa8,ILHC 2019: Pro-Am Follows - Sarah & Michael
https://www.youtube.com/watch?v=pK1mJol_4SQ,ILHC 2019: Pro-Am Follows - Ana Lisa & Mikey
https://www.youtube.com/watch?v=88wGkyiNu28,ILHC 2019: Pro-Am Follows - Emily & Brooks
https://www.youtube.com/watch?v=zSJQhAhbM_c,ILHC 2019: Pro-Am Follows - Ellie & Jeremy
https://www.youtube.com/watch?v=cqhDA0FCDrs,ILHC 2019: Pro-Am Follows - Stephanie & Felipe
https://www.youtube.com/watch?v=Gh9angBKfcA,ILHC 2019: Juniors Classic - Jermaine & Aniyah
https://www.youtube.com/watch?v=uzqWBQ5sWn4,ILHC 2019: Juniors Classic - Jonathan & Mariana
https://www.youtube.com/watch?v=YHBmCOu7idM,ILHC 2019: Juniors Classic - Ryan & Sukanya
https://www.youtube.com/watch?v=YPqF1bO7j9E,ILHC 2019: Juniors Classic - Tyler & Sharmaine
https://www.youtube.com/watch?v=4RN3-1YAIYg,ILHC 2019: Juniors Classic - Mario & Gabby
https://www.youtube.com/watch?v=nQDY6R6_sdE,ILHC 2019: Advanced Draw Lindy Finals - Benoît & Coralie
https://www.youtube.com/watch?v=aZ84YLa-K1k,ILHC 2019: Advanced Draw Lindy Finals - Travis & Maren
https://www.youtube.com/watch?v=TsHqk23s8zk,ILHC 2019: Advanced Draw Lindy Finals - Andrew & Michelle
https://www.youtube.com/watch?v=_LGqonWcJD4,ILHC 2019: Advanced Draw Lindy Finals - Jonathan & Marta
https://www.youtube.com/watch?v=AlBWo2Lj94w,ILHC 2019: Advanced Draw Lindy Finals - Alexander & Helena
https://www.youtube.com/watch?v=M4-MlHobvAY,ILHC 2019: Advanced Draw Lindy Finals - Andy & Idalia
https://www.youtube.com/watch?v=fbQH3lG-Al0,ILHC 2019: Advanced Draw Lindy Finals - David & Cami
https://www.youtube.com/watch?v=MAsd_0wsVrk,ILHC 2019: Advanced Draw Lindy Finals - Tyedric Hill & Renata Wlaczyga
https://www.youtube.com/watch?v=1BLimiKIHW0,ILHC 2019: Advanced Draw Lindy Finals - Cyle & Roser
https://www.youtube.com/watch?v=7S6rffIq71k,ILHC 2019: Open Draw Lindy Finals - Yusuke & Jess
https://www.youtube.com/watch?v=njW1G2EOU2w,ILHC 2019: Open Draw Lindy Finals - Farooq & Hyeonju
https://www.youtube.com/watch?v=paq1TjJh8bc,ILHC 2019: Open Draw Lindy Finals - Hussain & Ursula
https://www.youtube.com/watch?v=6W8VGnEHf-I,ILHC 2019: Open Draw Lindy Finals - Paul & Laura
https://www.youtube.com/watch?v=BiDmwAXv1Aw,ILHC 2019: Open Draw Lindy Finals - Rolando & Deniz
https://www.youtube.com/watch?v=xOTNGjZHd-w,ILHC 2019: Open Draw Lindy Finals - Kim & Audrey
https://www.youtube.com/watch?v=EVLV6WmhXoY,ILHC 2019: Open Draw Lindy Finals - Jeremy & Claire
https://www.youtube.com/watch?v=6cW1x_7HClQ,ILHC 2019: Open Draw Lindy Finals - Isaac & Seong-Heon
https://www.youtube.com/watch?v=p-7mQ9hdsj8,ILHC 2019: All-Star Classic - Peter & Elze
https://www.youtube.com/watch?v=B2zQqGKHM7w,ILHC 2019: All-Star Classic - Rafal & Gaby
https://www.youtube.com/watch?v=KvF79iSD09c,ILHC 2019: All-Star Classic - Leonardo & Roser
https://www.youtube.com/watch?v=GESbmEYm_S8,ILHC 2019: All-Star Classic - Jean Philippe & Margaux
https://www.youtube.com/watch?v=e0tLSdIwmrk,ILHC 2019: All Star Classic - Tail & Hago
https://www.youtube.com/watch?v=-glRUE7OXFg,ILHC 2019: All-Star Classic - Rasmus & Mona
https://www.youtube.com/watch?v=22heWXVDVbA,ILHC 2019: All-Star Classic - Hugo & Melanie
https://www.youtube.com/watch?v=eOs6XguCsTA,ILHC 2019: All-Star Classic - Blake & Samantha
https://www.youtube.com/watch?v=_Q1c-u-2VQk,ILHC 2019: All-Star Classic - Andy & Eileen
https://www.youtube.com/watch?v=GocIjv0zWio,ILHC 2019: All-Star Classic - Jaewon & Yuyu
https://www.youtube.com/watch?v=gDHsRvOcWgY,ILHC 2019: All-Star Classic - Adam & Mate
https://www.youtube.com/watch?v=ol6rpKPQM5s,ILHC 2019: All-Star Classic - Gustav & Laia
https://www.youtube.com/watch?v=lvZc1JBu6kE,ILHC 2019: Invitational Classic - Todd Yannacone & Irina Amzashvili
https://www.youtube.com/watch?v=T6_1eNM6OLo,ILHC 2019: Invitational Classic - Andrew & Marie
https://www.youtube.com/watch?v=ekNEUkBh6g0,ILHC 2019: Invitational Classic - Felipe & Laura
https://www.youtube.com/watch?v=9Cy1zNotq6w,ILHC 2019: Invitational Classic - Mikey & Nikki
https://www.youtube.com/watch?v=RFRTAgQ4ib4,ILHC 2019: Invitational Classic - Remy & Ramona
https://www.youtube.com/watch?v=iFjLkA54JSs,ILHC 2019: Invitational Classic - Felix & LaTasha
https://www.youtube.com/watch?v=CNcLtwxy7gw,ILHC 2019: Invitational Classic - Rikard & Pamela
https://www.youtube.com/watch?v=flisefQDsl4,ILHC 2019: Showcase Throwdown Finals - Kimoon & Jungin
https://www.youtube.com/watch?v=1gX5M_BFVp0,ILHC 2019: Showcase Throwdown Finals - Blake & Grace
https://www.youtube.com/watch?v=51hShX5cnuw,ILHC 2019: Showcase Throwdown Finals - Jean-Philippe & Lisa
https://www.youtube.com/watch?v=op9TODsii4Y,ILHC 2019: Showcase Throwdown Finals - Fabien & Melanie
https://www.youtube.com/watch?v=yX5lyoGFeaA,ILHC 2019: Showcase Throwdown Finals - Jaewon & Jung
https://www.youtube.com/watch?v=GjWTrykZmjQ,ILHC 2019: Showcase Throwdown Finals - Andy & Hyeonju
https://www.youtube.com/watch?v=q_zvjTt5joE,ILHC 2019: Showcase Throwdown Finals - Mike & Katie
https://www.youtube.com/watch?v=aeeM2BsAhYg,ILHC 2019: Showcase Throwdown Finals - Nils & Bianca
https://www.youtube.com/watch?v=oAGcaBGlrjk,ILHC 2018 - Open Showcase Prelims - Huey Lee & Ella Hyunmi Kim (South Korea)
https://www.youtube.com/watch?v=4Ab_VKYO8bw,ILHC 2018 - Open Showcase Prelims - Lalaina Rakotomalala & Renata Wlaczyga (Madagascar & Brazil)
https://www.youtube.com/watch?v=WCAwG1HmMOU,ILHC 2018 - Open Showcase Prelims - Matej Dujakovic & Cajsa Weinemo (Sweden)
https://www.youtube.com/watch?v=TGRwwboJYtI,ILHC 2018 - Open Showcase Prelims - Steven Plummer & Akemi Kinukawa (USA)
https://www.youtube.com/watch?v=NkEOPQPxj5w,ILHC 2018 - Open Showcase Prelims - Tadas Vasiliauskas & Ana Umnova (Lithuania)
https://www.youtube.com/watch?v=V-dx65XdG-U,ILHC 2018 - Open Showcase Prelims - Willie Lin & Jing Yi Chiew (Taiwan)
https://www.youtube.com/watch?v=8V3-8tD-hdM,ILHC 2018 - Open Showcase Prelims - Ryan Calloway & Erin Morris (USA)
https://www.youtube.com/watch?v=LKXP0KtHRgk,ILHC 2018 - Open Showcase Prelims - Jeong Taek Shim & Min Young Lee (South Korea)
https://www.youtube.com/watch?v=ieSbe8kdYGA,ILHC 2018 - Open Showcase Prelims - Hugo Marty & Mélanie Ohl (France)
https://www.youtube.com/watch?v=VQtb5QZ4wu8,ILHC 2018 - Open Showcase Prelims - Michael Grosser & Heather Ballew (USA)
https://www.youtube.com/watch?v=eBTlc3QW_SY,ILHC 2018 - Open Showcase Prelims - Christopher Glasow & Brittany Morton (USA)
https://www.youtube.com/watch?v=hk5Ww5zA8sA,ILHC 2018 - Open Showcase Prelims - Matt Richey & Natalia Eristavi (USA)
https://www.youtube.com/watch?v=7JkQWTNE2Qk,ILHC 2018 - Open Showcase Prelims - Chinwei Hsu & Yu Hsuan Chen (Taiwan)
https://www.youtube.com/watch?v=cdZSljUkTLE,ILHC 2018 - Open Showcase Prelims - Aurelien Darbellay & Maria Ferrer (Switzerland & Spain)
https://www.youtube.com/watch?v=Grwd8GqIyVA,ILHC 2018 - Open Showcase Prelims - Oscar Hampton & Cami Asher (USA)
https://www.youtube.com/watch?v=yMDp2pY_eHg,ILHC 2018 - Open Showcase Prelims - Alexander Kuznetsov & Olga Moiseeva (Belgium & Russia)
https://www.youtube.com/watch?v=WAG_dpzw630,ILHC 2018 - Open Showcase Prelims - Dominik Knoll & Nora Locher (Austria & Hungary)
https://www.youtube.com/watch?v=nEkfbmvZ3D4,ILHC 2018 - Open Showcase Prelims - Simon Bressanelli & Ariadna Beltran (UK & Catalonia)
https://www.youtube.com/watch?v=gbdo0cVUOVk,ILHC 2018 - Open Classic Prelims - Aurelien Darbellay & Maria Ferrer (Switzerland & Spain)
https://www.youtube.com/watch?v=U35X0B1Qww4,ILHC 2018 - Open Classic Prelims - Alexey Kazennov & Helena Bausells Hernanz (Russia & Spain)
